slug,version,active_installs,path,download_link
seo-by-rank-math,1.0.86.1,1000000,plugins/zip/79/seo-by-rank-math/seo-by-rank-math.zip,https://downloads.wordpress.org/plugin/seo-by-rank-math.1.0.86.1.zip
worker,4.9.13,1000000,plugins/zip/85/worker/worker.zip,https://downloads.wordpress.org/plugin/worker.zip
w3-total-cache,2.2.1,1000000,plugins/zip/71/w3-total-cache/w3-total-cache.zip,https://downloads.wordpress.org/plugin/w3-total-cache.2.2.1.zip
header-footer-elementor,1.6.10,1000000,plugins/zip/8/header-footer-elementor/header-footer-elementor.zip,https://downloads.wordpress.org/plugin/header-footer-elementor.1.6.10.zip
better-search-replace,1.4,1000000,plugins/zip/25/better-search-replace/better-search-replace.zip,https://downloads.wordpress.org/plugin/better-search-replace.zip
instagram-feed,6.0.4,1000000,plugins/zip/76/instagram-feed/instagram-feed.zip,https://downloads.wordpress.org/plugin/instagram-feed.6.0.4.zip
cookie-law-info,2.1.1,1000000,plugins/zip/69/cookie-law-info/cookie-law-info.zip,https://downloads.wordpress.org/plugin/cookie-law-info.2.1.1.zip
astra-sites,3.1.7,1000000,plugins/zip/32/astra-sites/astra-sites.zip,https://downloads.wordpress.org/plugin/astra-sites.3.1.7.zip
sg-cachepress,7.0.9,1000000,plugins/zip/12/sg-cachepress/sg-cachepress.zip,https://downloads.wordpress.org/plugin/sg-cachepress.zip
cookie-notice,2.2.3,1000000,plugins/zip/78/cookie-notice/cookie-notice.zip,https://downloads.wordpress.org/plugin/cookie-notice.2.2.3.zip
