name,slug,homepage,version,active_installs,path
"WPFront Scroll Top",wpfront-scroll-top,http://wpfront.com/scroll-top-plugin/,2.0.7.08086,200000,plugins/zip/13/wpfront-scroll-top/wpfront-scroll-top.zip
"CMP &#8211; Coming Soon &amp; Maintenance Plugin by NiteoThemes",cmp-coming-soon-maintenance,https://wordpress.org/plugins/cmp-coming-soon-maintenance/,4.1.1,200000,plugins/zip/84/cmp-coming-soon-maintenance/cmp-coming-soon-maintenance.zip
"WP Crontrol",wp-crontrol,https://wordpress.org/plugins/wp-crontrol/,1.12.0,200000,plugins/zip/89/wp-crontrol/wp-crontrol.zip
"reSmush.it : the only free Image Optimizer &amp; compress plugin",resmushit-image-optimizer,https://wordpress.org/plugins/resmushit-image-optimizer/,0.4.2,200000,plugins/zip/38/resmushit-image-optimizer/resmushit-image-optimizer.zip
"Breeze &#8211; WordPress Cache Plugin",breeze,,2.0.2,200000,plugins/zip/28/breeze/breeze.zip
"Cyr-To-Lat",cyr2lat,https://wordpress.org/plugins/cyr2lat/,5.2.7,200000,plugins/zip/86/cyr2lat/cyr2lat.zip
"BuddyPress",buddypress,https://buddypress.org/,10.2.0,200000,plugins/zip/19/buddypress/buddypress.zip
"Statify",statify,https://statify.pluginkollektiv.org/,1.8.3,200000,plugins/zip/9/statify/statify.zip
"Templately &#8211; Templates Cloud for Elementor &amp; Gutenberg : 1500+ Free Designs!",templately,https://templately.com,1.3.3,200000,plugins/zip/45/templately/templately.zip
"Best WordPress Gallery Plugin &#8211; FooGallery",foogallery,https://fooplugins.com/foogallery-wordpress-gallery-plugin/,2.1.34,200000,plugins/zip/16/foogallery/foogallery.zip
"Search Regex",search-regex,https://searchregex.com/,2.4.1,200000,plugins/zip/39/search-regex/search-regex.zip
"Menu Icons by ThemeIsle",menu-icons,https://github.com/Codeinwp/wp-menu-icons,0.12.11,200000,plugins/zip/15/menu-icons/menu-icons.zip
"Search &amp; Replace",search-and-replace,https://wordpress.org/plugins/search-and-replace/,3.2.1,200000,plugins/zip/24/search-and-replace/search-and-replace.zip
"WooCommerce Google Analytics Integration",woocommerce-google-analytics-integration,https://wordpress.org/plugins/woocommerce-google-analytics-integration/,1.5.8,200000,plugins/zip/59/woocommerce-google-analytics-integration/woocommerce-google-analytics-integration.zip
"WooCommerce Blocks",woo-gutenberg-products-block,https://github.com/woocommerce/woocommerce-gutenberg-products-block,7.3.0,200000,plugins/zip/40/woo-gutenberg-products-block/woo-gutenberg-products-block.zip
"Custom Sidebars &#8211; Dynamic Sidebar Widget Area Manager",custom-sidebars,https://wordpress.org/plugins/custom-sidebars/,3.35,200000,plugins/zip/42/custom-sidebars/custom-sidebars.zip
"Anti-Malware Security and Brute-Force Firewall",gotmls,https://gotmls.net/,4.20.96,200000,plugins/zip/39/gotmls/gotmls.zip
"MalCare WordPress Security Plugin &#8211; Malware Scanner, Cleaner, Security Firewall",malcare-security,https://www.malcare.com,4.77,200000,plugins/zip/26/malcare-security/malcare-security.zip
"Recent Posts Widget With Thumbnails",recent-posts-widget-with-thumbnails,https://wordpress.org/plugins/recent-posts-widget-with-thumbnails/,7.1.1,200000,plugins/zip/63/recent-posts-widget-with-thumbnails/recent-posts-widget-with-thumbnails.zip
"Enable jQuery Migrate Helper",enable-jquery-migrate-helper,https://wordpress.org/plugins/enable-jquery-migrate-helper,1.3.0,200000,plugins/zip/12/enable-jquery-migrate-helper/enable-jquery-migrate-helper.zip
"Simple Social Icons",simple-social-icons,https://wordpress.org/plugins/simple-social-icons/,3.0.2,200000,plugins/zip/61/simple-social-icons/simple-social-icons.zip
"Translate Multilingual sites &#8211; TranslatePress",translatepress-multilingual,https://translatepress.com/,2.2.4,200000,plugins/zip/25/translatepress-multilingual/translatepress-multilingual.zip
"SEOPress, on-site SEO",wp-seopress,https://www.seopress.org/,5.6,200000,plugins/zip/1/wp-seopress/wp-seopress.zip
"reCaptcha by BestWebSoft",google-captcha,https://bestwebsoft.com/products/wordpress/plugins/google-captcha/,1.66,200000,plugins/zip/51/google-captcha/google-captcha.zip
"GDPR Cookie Compliance (CCPA ready)",gdpr-cookie-compliance,https://wordpress.org/plugins/gdpr-cookie-compliance/,4.8.3,200000,plugins/zip/37/gdpr-cookie-compliance/gdpr-cookie-compliance.zip
"AddQuicktag",addquicktag,http://bueltge.de/wp-addquicktags-de-plugin/120/,2.6.1,200000,plugins/zip/14/addquicktag/addquicktag.zip
"Embed Plus Plugin for YouTube, with YouTube Gallery, Channel, Playlist, Live Stream, Facade",youtube-embed-plus,https://www.embedplus.com/dashboard/pro-easy-video-analytics.aspx?ref=plugin,14.1,200000,plugins/zip/56/youtube-embed-plus/youtube-embed-plus.zip
"WP Rollback",wp-rollback,https://impress.org/,1.7.1,200000,plugins/zip/42/wp-rollback/wp-rollback.zip
"PS Auto Sitemap",ps-auto-sitemap,http://www.web-strategy.jp/wp_plugin/ps_auto_sitemap/,1.1.9,200000,plugins/zip/63/ps-auto-sitemap/ps-auto-sitemap.zip
"Funnel Builder by CartFlows &#8211; Create High Converting Sales Funnels For WordPress",cartflows,https://cartflows.com/,1.9.1,200000,plugins/zip/58/cartflows/cartflows.zip
