name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
cryptocurrency-shortcodes,false,false,false,false,false,false
1day-io,true,false,true,false,false,true
ltl-freight-quotes-xpo-edition,true,false,true,true,true,true
xamoom,false,false,false,false,false,false
geolocation-levels-for-paid-membership-pro,true,false,true,false,false,true
yt-eachuser,true,false,false,true,true,true
ninja-mortgage-calculator,false,false,false,false,false,false
quiz-maker-save-progress,false,false,false,false,false,false
subpages-extended,false,false,false,false,false,false
trustist-reviewer,false,false,false,false,false,false
wp-notice-popup,false,false,false,false,false,false
royal-copyright-text,false,false,false,false,false,false
gateway-aqayepardakht-easy-digital-downloads,false,false,false,false,false,false
bulk-city-landing-page-creator,true,false,true,false,false,true
totals-for-sponsorkliks,false,false,false,false,false,false
application-passwords-manager,false,false,false,false,false,false
gridlist-view-for-woocommerce,true,false,false,true,true,true
estonian-shipping-methods-for-woocommerce,true,false,true,true,true,true
psmailer,true,false,false,false,false,false
oneds-start,false,false,false,false,false,false
date-query-enabler,false,false,false,false,false,false
author-bio-shortcode,true,false,false,false,false,false
xmpp-statistics,false,false,false,false,false,false
import-wodpress-1x,false,false,false,false,false,false
gamipress-jetpack-integration,false,false,false,false,false,false
rsg-compiled-libraries,true,false,true,false,false,true
soccer-formation-ve,false,false,false,false,false,false
dashboard-google-pagerank,false,false,false,false,false,false
get-replytocom-back,false,false,false,false,false,false
woo-quick-order-view,true,false,false,false,false,false
zelish-recipe-shopper,false,false,false,false,false,false
gd-pages-navigator,false,false,false,false,false,false
mebounce,true,false,false,false,false,false
yaurau-ip-blocker,false,false,false,false,false,false
yeshourun-digital-support,true,false,false,false,false,false
ukrainian-currency,false,false,false,false,false,false
custom-csv-exporter,false,false,false,false,false,false
witty-map,false,false,false,false,false,false
map-cap,false,false,false,false,false,false
standout-color-boxes-and-buttons,false,false,false,false,false,false
debug-bar-transients,false,false,false,false,false,false
rss-per-page,false,false,false,false,false,false
archive-title,true,false,false,false,false,false
artistic-portfolio,false,false,false,false,false,false
info-tooltips-lite,true,false,true,false,false,true
scribd-doc-embedder,true,false,false,false,false,false
pppt,false,false,false,false,false,false
ultimate-google-fonts,false,false,false,false,false,false
catch-import-export,true,false,false,false,false,false
custom-buttons-buy-from,false,false,false,false,false,false
inject-header-and-footer,false,false,false,false,false,false
ssv-mailchimp,true,false,true,false,true,true
cf7-save-to-database,true,false,false,false,false,false
russian-number-comments,false,false,false,false,false,false
profile-xtra,true,false,true,false,false,true
mask-form-elementor,false,false,false,false,false,false
seo-comment-paging,false,false,false,false,false,false
wp-pexels-free-stock-photos,false,false,false,false,false,false
woo-multistep-checkout,true,false,true,false,false,true
abdul-wp-plugin,true,false,false,false,false,false
wooaddons-for-elementor,false,false,false,false,false,false
merc-theme-mod-import,false,false,false,false,false,false
wolfram-cdf-plugin,true,false,false,false,false,false
c4d-youtube,false,false,false,false,false,false
cb-popup-subscriber,false,false,false,false,false,false
jquery-hover-footnotes,false,false,false,false,false,false
woo-pelecard-gateway,false,false,false,false,false,false
woocommerce-other-payment-gateway,false,false,false,false,false,false
sales-improver,true,false,true,false,true,true
chartboot-for-wordpress,false,false,false,false,false,false
action-runner,false,false,false,false,false,false
atec-web-map-service,false,false,false,false,false,false
bbpress-integration,false,false,false,false,false,false
subtitle-360,false,false,false,false,false,false
jigoshop-youtube-video-product-tab,false,false,false,false,false,false
extended-evaluation-for-statify,false,false,false,false,false,false
data-collection-form,true,false,false,false,false,false
genesis-sermons-cpt,false,false,false,false,false,false
genzel-breadcrumbs,true,false,false,false,false,false
socialcompare-embed,false,false,false,false,false,false
email-confirmation-for-restrict-content-pro,true,false,false,false,false,false
wp-lijit-wijit,true,false,true,true,true,true
innozilla-per-product-shipping-woocommerce,true,false,false,false,false,false
wp-query-generator,true,false,false,false,false,false
woo-ajax-loginregister,true,false,false,false,false,false
jamstack-preview-and-deployments,false,false,false,false,false,false
dgs-puan-hesaplama,false,false,false,false,false,false
mailgun-email-validator,true,false,false,false,true,true
metricool,false,false,false,false,false,false
socketlabs,true,false,false,false,false,false
aweber-dev-facile,false,false,false,false,false,false
wp-kradeno,false,false,false,false,false,false
wp-resume,true,false,true,false,false,true
print-label-and-tracking-code-for-dpd,true,true,true,true,true,true
wp-live-debug,false,false,false,false,false,false
custom-post-type-multiroutes,false,false,false,false,false,false
add-links-to-pages,false,false,false,false,false,false
instantsearch-for-woocommerce,false,false,false,false,false,false
embed-spider-solitaire-iframe,false,false,false,false,false,false
zaki-notifications-hider,false,false,false,false,false,false
save-data-uri-images,false,false,false,false,false,false
managementboeknl-widget,false,false,false,false,false,false
procure-eminence-theater,false,false,false,false,false,false
jettweet,true,false,false,false,false,false
wp-search-suggest,false,false,false,false,false,false
schedule-content,false,false,false,false,false,false
author-wordcount,false,false,false,false,false,false
aws-easy-page-link,false,false,false,false,false,false
gf-sort-export,false,false,false,false,false,false
uvc-digital-clock,false,false,false,false,false,false
k2-woo-custom-payment-gateway,false,false,false,false,false,false
capitalporg-quote-widget,false,false,false,false,false,false
woocommerce-beanstream-payment-gateway,true,false,false,false,false,false
wp-minimize-admin-bar,false,false,false,false,false,false
far-future-expiry-header,false,false,false,false,false,false
tt-post-viewer,true,false,false,false,false,false
zillaportfolio,false,false,false,false,false,false
backup-master-for-your-website,false,false,false,false,false,false
cutup-machine,false,false,false,false,false,false
epoll-wp-voting,true,false,false,false,false,false
google-maps-travel-route,true,false,false,false,false,false
enable-classic-editor,false,false,false,false,false,false
fancy-product-for-elementor,false,false,false,false,false,false
wp-shortlinker,false,false,false,false,false,false
sb-tab-widget,false,false,false,false,false,false
cyrillic-slugs,false,false,false,false,false,false
intrackt-companion-products,true,false,false,false,false,false
purge-black-hat-seo,false,false,false,false,false,false
accesspress-custom-post-type,false,false,false,false,false,false
pushpad-web-push-notifications,false,false,false,false,false,false
quantimodo,true,false,true,true,true,true
session-slap,false,false,false,false,false,false
random-post-shortcode,false,false,false,false,false,false
gr-progress,false,false,false,false,false,false
sortable-tags,false,false,false,false,false,false
acf-add-testimonials-blocks,false,false,false,false,false,false
olympic-medal-table,false,false,false,false,false,false
octeth-email-marketing,true,false,false,false,false,false
disable-site-health,false,false,false,false,false,false
citypay-payments,true,false,false,false,true,true
auto-disable-editor,false,false,false,false,false,false
zohocreator,false,false,false,false,false,false
wp-smoother,false,false,false,false,false,false
f13-github-repo-shortcode,false,false,false,false,false,false
facebook-comments-master,false,false,false,false,false,false
auto-numbering-post,false,false,false,false,false,false
gravatar-seo,true,false,false,false,false,false
modify-author-url,true,false,true,false,false,true
page-and-post-restriction,true,false,false,false,false,false
classic-text-widget,false,false,false,false,false,false
wordpress-page-previews-screenshots-plugin,true,false,false,false,false,false
cleaner-tags,false,false,false,false,false,false
cmp-coming-soon-maintenance,true,false,true,true,true,true
directoryengines-counter,false,false,false,false,false,false
ogp-plus,true,false,false,false,false,false
category-d3-tree,false,false,false,false,false,false
microstock-photo-powersearch-plugin,false,false,false,false,false,false
ve-csv-importer,false,false,false,false,false,false
best-related-posts,false,false,false,false,false,false
wp-responsive-google-map,true,false,false,false,false,false
wp-multi-network,true,false,false,false,false,false
autodesk-freewheel-viewer,false,false,false,false,false,false
react-and-share,true,false,false,false,false,false
woo-pay-via-proxyapi,true,false,true,false,true,true
proteksi-post-dan-gambar,false,false,false,false,false,false
adminbar-remover,false,false,false,false,false,false
rbs-remote-dashboard-welcome-control,false,false,false,false,false,false
featured-podcast-widget,false,false,false,false,false,false
wp-spykey,true,false,true,false,false,true
click-pledge-paid-memberships-pro,true,false,false,false,false,false
twitter-it,false,false,false,false,false,false
danielme-weather,false,false,false,false,false,false
pagespot,false,false,false,false,false,false
disable-json-api,true,false,false,false,false,false
admin-per-page-limits,true,false,true,false,false,true
simple-app-changelogs,false,false,false,false,false,false
publisher-common-id,false,false,false,false,false,false
baidushare-wp,false,false,false,false,false,false
symbiostock,true,false,false,false,false,false
disable-comments-rb,false,false,false,false,false,false
dk-white-label,false,false,false,false,false,false
spokesperson,true,false,true,false,false,true
glavpunkt,false,false,false,false,false,false
goracash,true,false,false,false,false,false
360-viewer-light-for-elementor-wpbakery,false,false,false,false,false,false
pdf-image-generator,false,false,false,false,false,false
realtyna-core,true,false,false,false,false,false
secure-chatsystem-io,false,false,false,false,false,false
more-posts,false,false,false,false,false,false
event-organiser-posterboard,true,false,false,false,false,false
bio-widget,false,false,false,false,false,false
bew-menu-cart,false,false,false,false,false,false
simple-download-monitor,true,true,true,false,true,true
hellothere-widget,false,false,false,false,false,false
avatars,false,false,false,false,false,false
gnu-social-followers-widget,false,false,false,false,false,false
bee-quick-gallery,true,false,false,false,false,false
